featureidx	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	serum_pos_ab_zip	serum_pos_aw_zip	maxint	mean1	sd1	mean2	sd2	10102016-012	10102016-016	10102016-020	10102016-027	10102016-033	10102016-035	10102016-039	10102016-040	10102016-041	10102016-046	10102016-057	10102016-066	10102016-067	10102016-070	10102016-014	10102016-015	10102016-018	10102016-019	10102016-036	10102016-037	10102016-038	10102016-045	10102016-050	10102016-054	10102016-056	10102016-059	10102016-063	10102016-072
27	M105T3	1.06715877664166	0.09377484273398	0.828198278525515	0.415163029531215	1	UP	105.033779493814	105.033379587232	105.034132552443	3.03276655833333	3.02914999666667	3.03638341666667	28	14	14	1121.294921875	1613.70253080369	362.210919310557	1722.07681863602	329.435066672028	1941.18898383694	1887.5927734614	1742.66742549835	1572.15888169131	1623.88968166994	1116.68524937907	1153.66255937217	1985.40610085879	1768.62904043104	1906.36025097004	1856.97261095948	1206.11114730259	918.122571064158	1912.3881547564	1725.56222280562	760.504585007044	1379.69718926131	1661.61024862845	1686.72017652619	1766.35417533705	2189.14097824958	1898.26725118949	1924.6563038983	1740.48226981686	1767.68330138696	1889.31129399873	1816.39857177067	1902.68689302807
28	M757T5	1.19339932040852	0.255076860450617	0.823903568660439	0.418384297206979	1	UP	756.555148964038	756.553541836556	756.558344131153	5.32778342	5.27641677333333	5.35134985	42	13	10	1499.1015625	1598.53270689546	801.988208834073	1907.68784605984	1152.3904054984	764.093446220242	1179.89699874609	2332.0684835428	800.190181449893	753.377583890925	1135.32200061695	2582.68319460988	436.091823364422	2482.19829357299	2290.75111618705	919.278631988248	1946.93094936173	2437.14988436443	2319.42530862083	1282.55349257927	3621.14738105768	1859.05248465549	4307.31190621223	384.089107351374	991.998016225174	1966.93650114347	1034.45441160724	1982.0056173516	967.075497608798	3535.48889717492	1351.11209055695	1309.3095482484	2115.09489306511
29	M546T5_2	1.11280166413364	0.154196482465434	0.803186586100151	0.429550405941711	1	UP	546.35652316626	546.352887204888	546.358441674643	4.68148329333333	4.63446668	4.68354998	27	13	13	3587.1953125	1223.58018642773	397.425789962127	1361.60206765773	505.442685068557	1139.70047580958	1002.5752574222	2186.47553374676	1137.21860734377	1841.8419516684	975.048462367058	781.352400672273	1096.12425006366	1040.83411564613	1502.99922431098	1338.8528966468	788.395017945759	947.091353737432	1351.61306260744	1483.45763443894	1847.93335941431	1011.97954943815	2097.68068235032	743.243129972221	1193.95572866551	2192.02610647803	1117.76420282547	1798.77659998449	858.304933535904	885.752831672375	1303.26455417304	1789.94432135238	738.345312907104
30	M328T5	1.10689728563547	0.146521353664588	0.780069380762048	0.442411891299183	1	UP	328.321769497888	328.319951047558	328.324208847751	4.878850085	4.87514997333333	4.88460001333333	28	14	14	4099.9453125	1751.17452724741	618.634935908461	1938.37033088413	650.777404875453	1756.6534627543	3359.77794999098	1247.30136426188	1682.90357884401	1684.89974970156	1282.29626994996	1322.13098877536	1329.39978501595	1188.09658312569	1406.10757492617	2641.78900245566	1704.45860884397	2292.93334048516	1617.69512233307	2361.62733167756	2220.10832598252	1983.6735832363	1737.35107048724	1114.85641880476	3563.4768932628	1141.76078734704	1104.90598087228	2077.75076072295	1894.87975726336	2238.30040878499	2237.52933196128	1363.699782343	2097.26419963176
31	M760T6	1.13464616866321	-0.182242473463363	-0.776632568911112	0.445370419841793	1	DOWN	759.638409005847	759.635243449231	759.639694993028	6.27090006	6.22506683666667	6.31626657	23	8	9	1101.5849609375	4724.15317858948	1507.52177072792	4163.54746445342	2241.01600074654	5645.64004658653	5284.50668715213	6735.82760045575	4932.02005767762	5560.99179078682	4544.5739291542	4909.55863614318	5013.70938868513	4959.93131013193	5805.67374703668	3855.18214049603	2446.26480084321	5646.88412319557	797.380241908018	6099.20435345018	536.969956343539	5104.46342366812	2250.23171902681	895.559083079409	449.068956823251	6234.1436669699	4654.04526099579	4145.19080272376	4847.4516047205	4944.76184858824	5032.49228472658	7451.63316456731	5644.44837666446
32	M789T6	1.27838855222991	0.354326394327299	0.740201526480403	0.466594910703959	1	UP	788.619357017237	788.616614733984	788.622835640758	6.13324999333333	6.09448327	6.16508335	20	7	11	5848.75390625	5967.87121860813	4803.86372527941	7629.25824705098	6888.556891653	7045.53203962962	2781.26792170107	2237.22309189079	3322.02721494767	4845.05458371714	16288.1789138457	3119.24716459711	6164.11442985483	687.486211714407	2828.78036952019	4752.94354468584	12305.9576858157	3166.28531378508	14006.0985748087	2344.2143972928	10823.8172358323	19098.5427937327	21989.8200344316	2060.38639447152	3224.22625859301	6513.93391707515	1786.9016358908	5237.48229953978	3250.92732695738	3084.40610244255	4280.76727561156	5744.87834461702	17369.3114422254
33	M837T5	1.21916078545605	0.28588840412338	0.737738335428524	0.467303837034943	1	UP	836.674773385686	836.670558253627	836.679665537384	4.89288328	4.88958311	4.99384987666667	24	9	11	4306.9765625	1226.27225821515	1107.18486945317	1544.73216069965	1175.96512904191	620.148567031565	639.757272494026	1801.46441688479	1095.04353888564	807.122489018552	3891.75115451677	0	774.716865362367	1474.94016395021	2735.47955106167	1945.55414814929	1381.83344765726	0	0	4602.288901164	1309.85754765602	738.177475800556	891.761895770749	1165.28213892668	0	1459.54749597605	1574.57295719268	1115.5306552178	2593.11923523441	0	1680.11493371549	2623.20029351172	1872.79671962889
34	M72T1	1.05563697256747	-0.0781137855282798	-0.686886732571818	0.499236803868107	1	DOWN	72.0804578689183	72.0801260920203	72.0808787783941	0.589908355666667	0.586050009666667	0.593783330333333	20	10	10	1254.5478515625	1276.1906872027	307.374485748278	1208.92950925999	199.405118184051	2127.01866759911	1371.04023958171	781.607580026324	1406.75402143642	1170.6087522677	1305.48850477754	1378.56283937984	1085.34898914839	1463.61275594952	1071.37028722202	1278.84059014203	1070.52904519634	1043.64845118189	1312.23889692898	1356.30880916999	1112.31375507111	1504.55531290159	1070.04373675435	971.389735046049	1079.09876346588	1109.77895395207	1304.15068495254	1563.19994337687	1079.79736320356	940.725204369931	1299.99190632885	1436.94654810558	1096.7124129415
35	M790T6	1.14897185304281	0.200343455971019	0.656836024214809	0.517085842350659	1	UP	789.623526657967	789.620132218422	789.629643836108	6.13320853	6.11204983333333	6.15378309666667	14	5	9	2676.892578125	3957.11790043036	2454.93094364418	4546.61708676633	2291.28242527116	1463.57681139377	3011.91285895996	3973.3763504596	3295.81948316949	1178.61381898441	5628.30359678417	2850.91708838381	2576.00768784838	5119.28795317543	2679.37754922254	3948.66025234972	11121.4431527554	3127.35142694414	5425.00257559419	3144.95809306612	2550.19721079298	7715.87935100993	8118.78297287935	1098.03023672518	4616.10359733552	6040.49652852544	3065.04186380804	1141.52710123245	4148.31733898474	5776.82719130168	3764.27576979112	4897.6397815859	7574.56217769018
36	M521T5	1.06080188052993	-0.0851552380940609	-0.652930134761154	0.519754126353493	1	DOWN	521.345916136777	521.34090373935	521.34932472348	4.64329171666667	4.64176649	4.71031666	28	13	14	3901.068359375	3006.3771231894	763.8986173263	2834.06089145274	625.742783849252	3617.02577892727	1987.32093828128	3330.98851863925	2928.18046175698	3065.15466720183	2593.06735546173	3370.2024356213	2078.70334248245	2546.79697358318	3388.16972187805	4173.06643517724	3271.11707418189	1630.71436249243	4108.77165896675	4026.61383862167	3102.2252313791	2557.79194691201	3126.12098190457	1629.51408030878	3306.8759067892	2967.12193284927	2747.609373347	3089.18027875939	3028.64600452903	1613.69796739153	2784.37766022039	3112.82579871587	2584.25147861055
37	M812T6_1	1.09645300573702	-0.132843979049302	-0.633247871697387	0.532141612294777	1	DOWN	811.608025537283	811.60557907491	811.612606612454	5.65655830166667	5.64019983666667	5.67124981333333	22	9	13	4529.41796875	6909.10652730143	2430.44033133342	6301.3248093175	2643.78089108275	3578.77176042499	7330.88935257279	3567.39327506726	11241.9832463934	8761.70385323465	3667.6902379746	8110.25379082642	8949.27368430793	3758.9201648578	8203.70216169247	8919.01415104711	7275.45385043794	6964.27237457651	6398.16947880619	2751.61672510786	8006.07030205173	4362.05804915172	9473.61655134541	8245.10408019836	5897.27985124497	5947.73305718371	10472.3420769647	3641.40832647807	8193.46630184091	2694.38817506751	3620.445979283	9265.98809290814	5647.0297616189
