row ID,row m/z,row retention time,10102016-04201.CDF Peak height,10102016-06001.CDF Peak height,10102016-02401.CDF Peak height,10102016-07601.CDF Peak height,10102016-00501.CDF Peak height,
47,184.9871088663737,5.254383405049642,539.9013671875,0,609.52099609375,518.1806640625,0,
89,145.95659065246582,5.100737452507019,351.669677734375,384.095458984375,342.021728515625,366.260986328125,0,
62,338.3434539794922,5.025033378601075,444.464111328125,474.751708984375,371.244873046875,371.63330078125,1006.50830078125,
111,468.39165954589845,4.76081657409668,309.39990234375,270.930419921875,340.002197265625,332.421630859375,824.607421875,
1045,140.9972152709961,5.3518500328063965,0,0,383.130859375,372.138671875,0,
45,184.9871088663737,5.277249972025554,548.0927734375,0,576.70947265625,513.57666015625,0,
101,145.9566135406494,5.314416766166687,331.17822265625,360.71484375,0,343.921875,465.67529296875,
134,124.08800888061523,6.451608180999756,252.1007080078125,278.9853515625,0,0,0,
146,600.4698913574218,4.7641599655151365,233.423828125,316.38623046875,367.47412109375,346.749755859375,876.15380859375,
91,628.5016403198242,4.849279165267944,343.13525390625,312.86962890625,302.02880859375,303.3115234375,0,
779,453.78602091471356,6.159977753957112,0,354.83154296875,0,360.976318359375,484.53076171875,
81,140.9971923828125,5.110226631164551,362.168212890625,424.555908203125,397.79638671875,380.656005859375,614.57861328125,
133,672.5278442382812,4.847953414916992,252.398193359375,236.5465087890625,246.7137451171875,243.8131103515625,866.125,
1043,140.997189839681,5.0835334459940595,0,0,416.581298828125,414.496826171875,582.46728515625,
144,801.6867980957031,5.430245757102966,238.5728759765625,206.829833984375,275.062255859375,245.5191650390625,0,
781,453.7859878540039,6.29642915725708,0,350.59130859375,318.685302734375,354.97314453125,515.185546875,
73,145.9566207885742,5.004816722869873,376.175048828125,353.5556640625,329.2548828125,374.20947265625,553.72265625,
90,140.99716186523438,4.91423761844635,373.07177734375,396.96044921875,0,387.048828125,589.7958984375,
83,139.9895217895508,5.131353282928467,361.488037109375,344.075439453125,319.41943359375,395.142578125,465.695556640625,
783,145.95655059814453,5.226705551147461,0,345.5419921875,0,387.948486328125,452.688232421875,
179,377.32727966308596,4.806800079345703,195.0284423828125,196.2415771484375,207.594970703125,227.573486328125,510.34765625,
157,801.6867980957031,5.509670853614807,223.6552734375,261.396240234375,409.451171875,251.378662109375,0,
211,680.4927001953125,5.908736705780029,151.30224609375,124.75054931640625,151.8529052734375,149.26904296875,319.232177734375,
175,815.7016906738281,6.095458507537842,197.939208984375,224.8897705078125,0,0,0,
1050,139.98959350585938,4.91855001449585,0,0,310.425537109375,0,521.515625,
59,787.6697235107422,5.025833368301392,458.760498046875,625.89306640625,643.576171875,563.4453125,0,
773,145.95657539367676,4.9878541231155396,0,398.599365234375,351.579345703125,355.878173828125,530.58251953125,
100,145.9566192626953,5.123150030771892,332.6005859375,406.563720703125,343.182373046875,0,0,
154,809.65185546875,4.993320941925049,225.878173828125,221.4595947265625,263.533203125,186.6939697265625,0,
706,186.98322296142578,4.927775025367737,268.765625,242.0029296875,0,246.7137451171875,463.039306640625,
80,139.98950386047363,5.243791699409485,365.59716796875,341.031005859375,0,367.8369140625,449.7685546875,
786,814.6917572021484,5.025708436965942,0,338.50390625,383.56591796875,0,0,
93,145.9566135406494,5.2744749784469604,342.08154296875,392.401611328125,0,372.559326171875,431.405517578125,
131,186.9832305908203,5.001913356781006,255.52685546875,229.30419921875,273.408203125,225.8223876953125,476.741943359375,
780,453.78599039713544,6.246449947357178,0,353.34521484375,318.205078125,0,506.97216796875,
776,139.98944091796875,5.311694463094075,0,374.055908203125,0,327.07080078125,433.552001953125,
104,139.98954010009766,4.975138823191325,326.823486328125,394.06201171875,327.156494140625,0,0,
136,644.4960510253907,4.7641599655151365,246.7137451171875,237.4287109375,271.26025390625,276.960205078125,752.8837890625,
