row ID,row m/z,row retention time,10102016-08301.CDF Peak height,10102016-08401.CDF Peak height,10102016-08201.CDF Peak height,10102016-08501.CDF Peak height,10102016-08801.CDF Peak height,10102016-08901.CDF Peak height,10102016-08701.CDF Peak height,10102016-08601.CDF Peak height,10102016-09001.CDF Peak height,10102016-09301.CDF Peak height,10102016-09201.CDF Peak height,10102016-09101.CDF Peak height,10102016-10001.CDF Peak height,10102016-09401.CDF Peak height,10102016-09501.CDF Peak height,10102016-09601.CDF Peak height,10102016-10101.CDF Peak height,10102016-10501.CDF Peak height,10102016-10201.CDF Peak height,10102016-09901.CDF Peak height,10102016-10701.CDF Peak height,10102016-10301.CDF Peak height,10102016-10401.CDF Peak height,10102016-10601.CDF Peak height,10102016-10901.CDF Peak height,10102016-11101.CDF Peak height,10102016-10801.CDF Peak height,10102016-11001.CDF Peak height,10102016-11801.CDF Peak height,10102016-11201.CDF Peak height,10102016-11301.CDF Peak height,10102016-11401.CDF Peak height,10102016-12401.CDF Peak height,10102016-11701.CDF Peak height,10102016-12001.CDF Peak height,10102016-11901.CDF Peak height,10102016-12101.CDF Peak height,10102016-12301.CDF Peak height,10102016-12201.CDF Peak height,10102016-12701.CDF Peak height,10102016-12601.CDF Peak height,10102016-12801.CDF Peak height,10102016-12501.CDF Peak height,10102016-13101.CDF Peak height,10102016-12901.CDF Peak height,10102016-13701.CDF Peak height,10102016-13201.CDF Peak height,10102016-13001.CDF Peak height,10102016-14101.CDF Peak height,10102016-13801.CDF Peak height,10102016-13501.CDF Peak height,10102016-13601.CDF Peak height,10102016-14301.CDF Peak height,10102016-13901.CDF Peak height,10102016-14001.CDF Peak height,10102016-14201.CDF Peak height,10102016-14501.CDF Peak height,10102016-14701.CDF Peak height,10102016-14401.CDF Peak height,10102016-14601.CDF Peak height,10102016-14801.CDF Peak height,
1265,854.5968485514323,6.36612335840861,0,0,0,0,107.7227783203125,0,0,0,90.7158203125,100.29864501953125,0,120.124267578125,0,70.44342041015625,0,80.47235107421875,0,143.641357421875,0,0,0,87.94915771484375,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83782958984375,0,0,72.90374755859375,119.6171875,0,0,0,0,0,0,105.6201171875,0,0,0,0,0,0,0,0,0,0,131.171142578125,0,82.07177734375,103.8231201171875,
1266,460.2765655517578,4.613534597250132,0,0,0,0,107.24530029296875,0,0,0,0,0,0,0,0,0,0,0,0,96.8079833984375,0,0,0,0,94.7012939453125,0,108.41278076171875,101.181396484375,0,0,0,0,91.4736328125,98.22967529296875,0,0,0,89.32574462890625,0,0,0,0,0,0,0,0,0,0,0,0,88.20074462890625,0,0,101.10882568359375,0,102.072265625,109.31182861328125,0,111.416259765625,0,0,0,0,
1267,157.93124389648438,6.161615037918091,0,0,0,0,106.45562744140625,0,105.23516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.7386474609375,107.5277099609375,0,103.09088134765625,0,0,0,0,0,0,0,0,0,110.63720703125,103.615234375,0,0,0,0,108.1248779296875,105.40081787109375,107.9495849609375,0,0,0,0,0,0,
1268,181.05510457356772,3.031041701634725,0,0,0,0,101.26580810546875,0,0,0,0,0,0,0,0,0,0,0,50.632904052734375,0,0,0,0,0,0,0,0,0,0,0,0,0,101.26580810546875,0,151.898681640625,0,0,0,0,0,0,0,0,0,0,151.898681640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.26580810546875,0,0,
1270,404.18788964407787,5.167137503623962,0,0,0,0,94.852294921875,101.899169921875,88.52313232421875,0,98.016845703125,89.5780029296875,0,104.345947265625,64.39617919921875,0,0,75.86492919921875,82.55291748046875,0,86.30120849609375,0,0,86.4134521484375,95.9071044921875,0,0,0,0,91.687744140625,90.63287353515625,78.33349609375,0,81.13922119140625,87.46832275390625,91.687744140625,0,96.96197509765625,0,0,0,99.32159423828125,0,0,96.96197509765625,0,88.52313232421875,0,0,0,0,0,94.852294921875,92.7425537109375,0,80.7275390625,0,0,0,96.75616455078125,80.0843505859375,86.4134521484375,0,
1271,466.16634541173136,4.820480100570187,0,0,0,0,89.52545166015625,0,0,82.689697265625,0,0,0,60.499420166015625,75.72491455078125,77.19451904296875,78.26495361328125,0,0,0,0,0,82.23193359375,0,55.219818115234375,79.86163330078125,0,72.65936279296875,0,0,93.19805908203125,0,84.08447265625,66.2001953125,0,0,81.82806396484375,69.71337890625,86.93310546875,0,68.65118408203125,66.600341796875,69.8116455078125,78.66351318359375,0,0,0,0,82.65582275390625,0,73.18212890625,0,60.9720458984375,74.04742431640625,73.78961181640625,73.15155029296875,53.64886474609375,72.33392333984375,0,0,80.527099609375,55.089019775390625,59.57861328125,
1272,197.80907004220145,1.0522071463721139,0,0,0,0,80.0843505859375,0,0,71.6455078125,0,0,0,76.9901123046875,0,0,0,0,0,0,0,0,0,0,74.81005859375,0,0,0,0,0,0,0,0,0,76.9901123046875,0,0,0,72.70037841796875,0,0,0,0,0,0,0,72.87762451171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1273,818.5914719525506,5.855741164263557,0,0,0,0,79.97332763671875,0,0,46.340972900390625,0,0,0,51.82855224609375,59.217742919921875,0,0,60.523590087890625,45.53045654296875,69.0625,0,0,0,48.38421630859375,0,50.756744384765625,60.123291015625,53.18511962890625,0,0,0,47.857086181640625,0,0,0,0,55.08135986328125,0,0,0,53.994964599609375,77.2674560546875,0,54.669769287109375,0,0,0,0,0,0,0,0,0,0,54.6632080078125,0,0,0,0,0,0,0,0,
1274,98.93960553123837,6.482687291644869,0,0,0,0,79.04656982421875,0,0,0,0,62.727386474609375,0,0,0,0,0,0,0,74.28265380859375,0,0,0,0,77.45855712890625,0,66.46441650390625,83.6563720703125,73.80072021484375,0,63.8902587890625,0,0,0,92.7255859375,0,75.37158203125,70.6009521484375,0,0,0,0,71.66827392578125,0,0,0,60.78240966796875,79.02947998046875,85.35858154296875,0,0,0,0,0,0,81.13922119140625,76.3980712890625,78.513427734375,0,90.39642333984375,0,77.974609375,75.86492919921875,
1275,243.8989668952094,3.8790527714623346,0,0,0,0,73.7552490234375,80.34454345703125,0,0,0,0,0,0,68.53265380859375,0,0,0,82.19403076171875,0,0,0,0,82.45428466796875,0,0,0,0,0,93.79742431640625,80.35009765625,0,0,0,73.7552490234375,79.02947998046875,0,0,0,0,0,72.70037841796875,66.46441650390625,0,83.31182861328125,0,62.838134765625,0,0,0,0,0,0,0,73.7552490234375,76.9197998046875,0,76.9197998046875,0,70.6009521484375,0,0,64.39617919921875,
